         0     gagagaga
         8     atomdat1
 0101  284    1           hydrogen molecule
  116   20053.5  1  4 10   5.25 2.35e+00 x:(singlet sigma,+g) (1s-sigma)
  117   20919.1  1  4 11  17.25 2.40e+00 x:(singlet sigma,+g) (1s-sigma)
  118   21831.2  1  4 12   6.25 2.45e+00 x:(singlet sigma,+g) (1s-sigma)
  119   22783.9  1  4 13  20.25 2.51e+00 x:(singlet sigma,+g) (1s-sigma)
  120   23771.8  1  4 14   7.25 2.57e+00 x:(singlet sigma,+g) (1s-sigma)
  121   24790.3  1  4 15  23.25 2.64e+00 x:(singlet sigma,+g) (1s-sigma)
  122   25835.9  1  4 16   8.25 2.71e+00 x:(singlet sigma,+g) (1s-sigma)
  123   26906.4  1  4 17  26.25 2.80e+00 x:(singlet sigma,+g) (1s-sigma)
  124   28001.3  1  4 18   9.25 2.90e+00 x:(singlet sigma,+g) (1s-sigma)
  125   29121.9  1  4 19  29.25 3.01e+00 x:(singlet sigma,+g) (1s-sigma)
  126   30272.1  1  4 20  10.25 3.15e+00 x:(singlet sigma,+g) (1s-sigma)
  127   31458.2  1  4 21  32.25 3.32e+00 x:(singlet sigma,+g) (1s-sigma)
  128   32689.8  1  4 22  11.25 3.55e+00 x:(singlet sigma,+g) (1s-sigma)
  129   33979.7  1  4 23  35.25 3.91e+00 x:(singlet sigma,+g) (1s-sigma)
  130   35344.8  1  4 24  12.25 4.69e+00 x:(singlet sigma,+g) (1s-sigma)
  131   18481.7  1  5  0   0.25 2.27e+00 x:(singlet sigma,+g) (1s-sigma)
  132   18571.5  1  5  1   2.25 2.27e+00 x:(singlet sigma,+g) (1s-sigma)
  133   18750.1  1  5  2   1.25 2.28e+00 x:(singlet sigma,+g) (1s-sigma)
  134   19015.7  1  5  3   5.25 2.30e+00 x:(singlet sigma,+g) (1s-sigma)
  135   19365.6  1  5  4   2.25 2.31e+00 x:(singlet sigma,+g) (1s-sigma)
  136   19796.3  1  5  5   8.25 2.34e+00 x:(singlet sigma,+g) (1s-sigma)
  137   20303.5  1  5  6   3.25 2.36e+00 x:(singlet sigma,+g) (1s-sigma)
  138   20882.2  1  5  7  11.25 2.40e+00 x:(singlet sigma,+g) (1s-sigma)
  139   21526.8  1  5  8   4.25 2.43e+00 x:(singlet sigma,+g) (1s-sigma)
